,multi_windowing_periods,guessing_periods,predicting_period
0,4.979998630005866e-05,,
1,3.330000618007034e-05,,
2,2.710000262595713e-05,,
3,2.260001201648265e-05,,
4,2.47000134550035e-05,,
5,2.0199993741698563e-05,,
6,3.610001294873655e-05,,
7,3.960001049563289e-05,,
8,3.819999983534217e-05,,
9,2.9700007871724665e-05,,
10,2.5300003471784294e-05,,
11,2.540000423323363e-05,,
12,2.0000006770715117e-05,,
13,4.290000651963055e-05,,
14,3.2800002372823656e-05,,
15,4.05999890062958e-05,,
16,4.0400002035312355e-05,,
17,5.3800002206116915e-05,,
18,2.3900007363408804e-05,,
19,4.849999095313251e-05,,
20,2.2799998987466097e-05,,
21,1.889999839477241e-05,,
22,3.959999594371766e-05,,
23,2.6300011086277664e-05,,
24,1.930000144056976e-05,,
25,3.130000550299883e-05,,
26,3.229999856557697e-05,,
27,2.7099988074041903e-05,,
28,3.0800001695752144e-05,,
29,3.229999856557697e-05,,
30,2.059999678749591e-05,,
31,1.550000160932541e-05,,
32,2.3100001271814108e-05,,
33,1.8499995348975062e-05,,
34,2.339998900424689e-05,,
35,2.059999678749591e-05,,
36,3.470000228844583e-05,,
37,3.5899996873922646e-05,,
38,2.5500004994682968e-05,,
39,2.0000006770715117e-05,,
40,2.1200001356191933e-05,,
41,1.9400002202019095e-05,,
42,2.059999678749591e-05,,
43,3.1199990189634264e-05,,
44,3.340000694151968e-05,,
45,2.1599989850074053e-05,,
46,3.650000144261867e-05,,
47,3.029999788850546e-05,,
48,2.0099992980249226e-05,,
49,1.9899991457350552e-05,,
50,3.57000099029392e-05,,
51,2.3100001271814108e-05,,
52,1.9400002202019095e-05,,
53,2.0100007532164454e-05,,
54,1.8999999156221747e-05,,
55,2.1400002879090607e-05,,
56,1.8999999156221747e-05,,
57,2.649999805726111e-05,,
58,9.770000178832561e-05,,
59,1.9799990695901215e-05,,
60,2.1500003640539944e-05,,
61,3.070000093430281e-05,,
62,4.6200002543628216e-05,,
63,3.739999374374747e-05,,
64,4.020000051241368e-05,,
65,5.2799994591623545e-05,,
66,3.1799994758330286e-05,,
67,1.9400002202019095e-05,,
68,1.440000778529793e-05,,
69,1.9099999917671084e-05,,
70,1.9700004486367106e-05,,
71,1.9700004486367106e-05,,
72,3.479998849797994e-05,,
73,2.9100003303028643e-05,,
74,2.0099992980249226e-05,,
75,2.0399995264597237e-05,,
76,1.9099999917671084e-05,,
77,2.0100007532164454e-05,,
78,1.9400002202019095e-05,,
79,3.54999938281253e-05,,
80,2.19999928958714e-05,,
81,2.7700007194653153e-05,,
82,1.9500002963468432e-05,,
83,2.1799991372972727e-05,,
84,2.8000009479001164e-05,,
85,2.710000262595713e-05,,
86,3.9399994420818985e-05,,
87,2.099999983329326e-05,,
88,2.0199993741698563e-05,,
89,2.059999678749591e-05,,
90,2.3499989765696228e-05,,
91,1.960000372491777e-05,,
92,1.9400002202019095e-05,,
93,2.7999994927085936e-05,,
94,2.989999484270811e-05,,
95,1.9499988411553204e-05,,
96,0.00010449999535921961,,
97,1.9099999917671084e-05,,
98,1.9700004486367106e-05,,
99,3.9999998989515007e-05,,
100,3.15000070258975e-05,,
101,2.0699997548945248e-05,,
102,4.020000051241368e-05,,
103,2.0499996026046574e-05,,
104,1.9500002963468432e-05,,
105,2.099999983329326e-05,,
106,1.9400002202019095e-05,,
107,3.329999162815511e-05,,
108,3.1100003980100155e-05,,
109,2.0000006770715117e-05,,
110,1.999999221879989e-05,,
111,1.999999221879989e-05,,
112,2.0699997548945248e-05,,
113,1.930000144056976e-05,,
114,3.029999788850546e-05,,
115,4.4200001866556704e-05,,
116,2.200000744778663e-05,,
117,1.9800005247816443e-05,,
118,1.9699989934451878e-05,,
119,1.9700004486367106e-05,,
120,1.9500002963468432e-05,,
121,3.1400006264448166e-05,,
122,2.4900000425986946e-05,,
123,1.990000600926578e-05,,
124,1.9400002202019095e-05,,
125,3.700000524986535e-05,,
126,2.4199995095841587e-05,,
127,2.3900007363408804e-05,,
128,3.470000228844583e-05,,
129,2.7999994927085936e-05,,
130,2.7400004910305142e-05,,
131,2.0899999071843922e-05,,
132,1.5099998563528061e-05,,
133,1.85999961104244e-05,,
134,1.9800005247816443e-05,,
135,3.88999906135723e-05,,
136,2.5599991204217076e-05,,
137,2.0000006770715117e-05,,
138,1.8999999156221747e-05,,
139,3.0499999411404133e-05,,
140,2.0799998310394585e-05,,
141,2.5300003471784294e-05,,
142,3.1199990189634264e-05,,
143,2.929999027401209e-05,,
144,1.9199986127205193e-05,,
145,2.1400002879090607e-05,,
146,1.9700004486367106e-05,,
147,1.930000144056976e-05,,
148,1.9399987650103867e-05,,
149,2.239999594166875e-05,,
150,3.460000152699649e-05,,
151,1.9699989934451878e-05,,
152,1.959998917300254e-05,,
153,2.020000829361379e-05,,
154,1.890001294668764e-05,,
155,3.819999983534217e-05,,
156,3.130000550299883e-05,,
157,3.9099992136470973e-05,,
158,3.849998756777495e-05,,
159,3.539999306667596e-05,,
160,4.270000499673188e-05,,
161,3.7600009818561375e-05,,
162,2.3300002794712782e-05,,
163,3.199999628122896e-05,,
164,3.6200013710185885e-05,,
165,2.4199995095841587e-05,,
166,2.340000355616212e-05,,
167,2.1100000594742596e-05,,
168,2.1100000594742596e-05,,
169,2.02999945031479e-05,,
170,3.200001083314419e-05,,
171,3.540000761859119e-05,,
172,3.709999145939946e-05,,
173,2.540000423323363e-05,,
174,2.1599989850074053e-05,,
175,2.160000440198928e-05,,
176,2.379999205004424e-05,,
177,1.9099999917671084e-05,,
178,5.020000389777124e-05,,
179,4.569999873638153e-05,,
180,2.2899999748915434e-05,,
181,2.02999945031479e-05,,
182,1.9099999917671084e-05,,
183,1.9400002202019095e-05,,
184,1.8999999156221747e-05,,
185,3.239999932702631e-05,,
186,3.120000474154949e-05,,
187,3.759999526664615e-05,,
